order_id,product_id,order_date,ship_date,delivery_days,order_year,order_month
CA-2014-AB10015140-41954,TEC-PH-5816,2014-11-11,2014-11-13,2,2014,11
IN-2014-JR162107-41675,FUR-CH-5379,2014-05-02,2014-07-02,2,2014,2
IN-2014-CR127307-41929,TEC-PH-5356,2014-10-17,2014-10-18,1,2014,10
ES-2014-KM1637548-41667,TEC-PH-5267,2014-01-28,2014-01-30,2,2014,1
SG-2014-RH9495111-41948,TEC-CO-6011,2014-05-11,2014-06-11,1,2014,11
IN-2014-JM156557-41818,TEC-PH-5842,2014-06-28,2014-01-07,3,2014,6
IN-2012-TS2134092-41219,FUR-CH-5378,2012-06-11,2012-08-11,2,2012,11
IN-2013-MB1808592-41378,FUR-TA-3764,2013-04-14,2013-04-18,4,2013,4
CA-2014-AB10015140-41954,FUR-BO-5957,2014-11-11,2014-11-13,2,2014,11
CA-2012-AB10015140-40974,FUR-CH-4421,2012-06-03,2012-07-03,1,2012,3
CA-2012-AB10015140-40974,OFF-AR-5309,2012-06-03,2012-07-03,1,2012,3
ID-2013-AJ107801-41383,FUR-TA-3420,2013-04-19,2013-04-22,3,2013,4
SA-2012-MM7260110-41269,TEC-PH-3807,2012-12-26,2012-12-28,2,2012,12
MX-2013-VF2171518-41591,FUR-CH-4530,2013-11-13,2013-11-13,0,2013,11
IN-2014-PF1912027-41796,OFF-AP-4959,2014-06-06,2014-08-06,2,2014,6
ES-2015-BP1118545-42216,OFF-AP-3575,2015-07-31,2015-03-08,3,2015,7
CA-2012-AB10015140-40958,OFF-ST-3078,2012-02-19,2012-02-25,6,2012,2
ES-2015-PJ1883564-42255,OFF-AP-4743,2015-08-09,2015-09-14,6,2015,9
IN-2015-JS156857-42035,TEC-CO-3597,2015-01-31,2015-01-02,1,2015,1
TZ-2015-RH9555129-42343,OFF-AP-4967,2015-05-12,2015-07-12,2,2015,12
PL-2013-AB600103-41494,FUR-TA-4644,2013-08-08,2013-10-08,2,2013,8
CA-2012-AB10015140-40974,OFF-ST-3744,2012-06-03,2012-07-03,1,2012,3
IN-2012-JK1532527-41030,FUR-CH-5774,2012-01-05,2012-02-05,1,2012,5
ES-2014-LB16795139-41697,OFF-AP-4960,2014-02-27,2014-01-03,2,2014,2
US-2015-NP1832582-42216,TEC-PH-5268,2015-07-31,2015-01-08,1,2015,7
MX-2015-VD2167039-42252,FUR-TA-4643,2015-05-09,2015-08-09,3,2015,9
IN-2012-PB19210127-41259,FUR-TA-5060,2012-12-16,2012-12-19,3,2012,12
ES-2012-EB1411048-40981,OFF-AP-4743,2012-03-13,2012-03-16,3,2012,3
CA-2012-AH10030140-41020,OFF-FA-6129,2012-04-21,2012-04-23,2,2012,4
IN-2013-BP1123058-41329,FUR-CH-5443,2013-02-24,2013-02-24,0,2013,2
US-2012-RR1952536-41270,TEC-PH-5841,2012-12-27,2012-12-29,2,2012,12
ES-2013-BS1136545-41472,TEC-MA-5503,2013-07-17,2013-07-19,2,2013,7
CA-2013-AH10030140-41635,TEC-PH-4389,2013-12-27,2013-12-31,4,2013,12
IN-2012-DP131057-41215,OFF-AP-3579,2012-02-11,2012-04-11,2,2012,11
CA-2013-AH10030140-41635,OFF-ST-4291,2013-12-27,2013-12-31,4,2013,12
CG-2012-AH1003033-41165,TEC-PH-3148,2012-09-13,2012-09-14,1,2012,9
CA-2012-AH10030140-41041,FUR-CH-4840,2012-12-05,2012-05-18,6,2012,5
CA-2012-AH10030140-41273,TEC-AC-6340,2012-12-30,2012-12-31,1,2012,12
ES-2015-PO18865139-42018,TEC-CO-3598,2015-01-14,2015-01-18,4,2015,1
IN-2012-DL128657-40918,TEC-PH-5356,2012-10-01,2012-11-01,1,2012,1
ID-2014-JB1600059-41873,TEC-PH-5268,2014-08-22,2014-08-26,4,2014,8
IN-2015-BF1100558-42319,TEC-PH-5269,2015-11-11,2015-11-15,4,2015,11
IN-2015-VG2180558-42273,FUR-BO-5951,2015-09-26,2015-09-28,2,2015,9
ES-2013-GT14710139-41621,TEC-PH-5267,2013-12-13,2013-12-17,4,2013,12
IT-2012-ZC2191048-41174,OFF-AP-3874,2012-09-22,2012-09-24,2,2012,9
CA-2014-AH10030140-41719,FUR-FU-4072,2014-03-21,2014-03-26,5,2014,3
IT-2014-EB1384045-41706,FUR-CH-5441,2014-08-03,2014-08-03,0,2014,3
IN-2015-AP1091527-42244,FUR-CH-5380,2015-08-28,2015-08-29,1,2015,8
IN-2015-SW2027558-42125,TEC-MA-5007,2015-01-05,2015-01-05,0,2015,5
MX-2015-JH15820141-42356,FUR-CH-4531,2015-12-18,2015-12-20,2,2015,12
US-2012-AH10030140-41206,OFF-BI-4372,2012-10-24,2012-10-27,3,2012,10
IR-2015-TG1164060-42265,TEC-CO-3678,2015-09-18,2015-09-21,3,2015,9
CA-2012-AH10030140-41273,OFF-LA-3231,2012-12-30,2012-12-31,1,2012,12
IN-2012-PB19210127-41259,FUR-BO-5762,2012-12-16,2012-12-19,3,2012,12
MZ-2014-DG330087-41991,TEC-PH-5269,2014-12-18,2014-12-18,0,2014,12
IN-2013-SG2047058-41424,TEC-CO-4590,2013-05-30,2013-05-31,1,2013,5
CA-2012-AH10030140-41020,OFF-BI-2937,2012-04-21,2012-04-23,2,2012,4
IN-2013-GP1474058-41419,FUR-TA-3766,2013-05-25,2013-05-28,3,2013,5
IN-2015-MW182207-42221,OFF-AP-3577,2015-05-08,2015-06-08,1,2015,8
