order_id,customer_id,sales,discount,profit,shipping_cost
CA-2014-AB10015140-41954,AB-100151402,221,0.0,62,40
IN-2014-JR162107-41675,JR-162107,3709,0.1,-288,923
IN-2014-CR127307-41929,CR-127307,5175,0.1,919,915
ES-2014-KM1637548-41667,KM-1637548,2892,0.1,-96,910
SG-2014-RH9495111-41948,RH-9495111,2832,0.0,311,903
IN-2014-JM156557-41818,JM-156557,2862,0.1,763,897
IN-2012-TS2134092-41219,TS-2134092,1822,0.0,564,894
IN-2013-MB1808592-41378,MB-1808592,5244,0.0,996,878
CA-2014-AB10015140-41954,AB-100151402,341,0.0,54,25
CA-2012-AB10015140-40974,AB-100151404,48,0.2,5,11
CA-2012-AB10015140-40974,AB-100151404,17,0.0,4,4
ID-2013-AJ107801-41383,AJ-107801,4626,0.0,647,835
SA-2012-MM7260110-41269,MM-7260110,2616,0.0,1151,832
MX-2013-VF2171518-41591,VF-2171518,2221,0.0,622,810
IN-2014-PF1912027-41796,PF-1912027,3701,0.0,1036,804
ES-2015-BP1118545-42216,BP-1118545,1869,0.1,186,801
CA-2012-AB10015140-40958,AB-100151402,12,0.2,-2,1
ES-2015-PJ1883564-42255,PJ-1883564,7958,0.0,3979,778
IN-2015-JS156857-42035,JS-156857,2565,0.1,28,766
TZ-2015-RH9555129-42343,RH-9555129,3409,0.0,818,763
PL-2013-AB600103-41494,AB-600103,1977,0.0,276,759
CA-2012-AB10015140-40974,AB-100151404,242,0.0,4,1
IN-2012-JK1532527-41030,JK-1532527,2753,0.0,358,752
ES-2014-LB16795139-41697,LB-16795139,5273,0.0,1898,730
US-2015-NP1832582-42216,NP-1832582,1713,0.0,445,728
MX-2015-VD2167039-42252,VD-2167039,2106,0.2,526,728
IN-2012-PB19210127-41259,PB-19210127,1715,0.0,720,725
ES-2012-EB1411048-40981,EB-1411048,3069,0.1,1364,725
CA-2012-AH10030140-41020,AH-100301406,247,0.0,121,55
